competition_id,participants_season,team_season,team_id,team_name,team_relative_url,fixtures_relative_url,fixtures_url,squad_relative_url,squad_url,competition_label,current_label,current_matches,current_wins,current_draws,current_losses,current_points_per_game,current_goals_for_against,current_avg_attendance,overall_label,overall_matches,overall_wins,overall_draws,overall_losses,overall_points_per_game,overall_goals_for_against,overall_avg_attendance
EURO,2024,2024,3262,Germany,/deutschland/startseite/verein/3262,/deutschland/spielplan/verein/3262/saison_id/2024/plus/1,https://www.transfermarkt.com/deutschland/spielplan/verein/3262/saison_id/2024/plus/1,/deutschland/kader/verein/3262/saison_id/2024/plus/1,https://www.transfermarkt.com/deutschland/kader/verein/3262/saison_id/2024/plus/1,UEFA Euro,Matches,5,3,1,1,2.00,11:4,56.270,Matches,15,10,4,1,2.27,35:10,48.939
EURO,2024,2024,3299,England,/england/startseite/verein/3299,/england/spielplan/verein/3299/saison_id/2024/plus/1,https://www.transfermarkt.com/england/spielplan/verein/3299/saison_id/2024/plus/1,/england/kader/verein/3299/saison_id/2024/plus/1,https://www.transfermarkt.com/england/kader/verein/3299/saison_id/2024/plus/1,UEFA Euro,Matches,7,4,2,1,2.00,13:9,51.049,Matches,17,10,3,4,1.94,34:16,60.344
EURO,2024,2024,3300,Portugal,/portugal/startseite/verein/3300,/portugal/spielplan/verein/3300/saison_id/2024/plus/1,https://www.transfermarkt.com/portugal/spielplan/verein/3300/saison_id/2024/plus/1,/portugal/kader/verein/3300/saison_id/2024/plus/1,https://www.transfermarkt.com/portugal/kader/verein/3300/saison_id/2024/plus/1,UEFA Euro,Matches,5,3,-,2,1.80,11:8,48.690,Matches,16,10,2,4,2.00,37:21,43.392
EURO,2024,2024,3375,Spain,/spanien/startseite/verein/3375,/spanien/spielplan/verein/3375/saison_id/2024/plus/1,https://www.transfermarkt.com/spanien/spielplan/verein/3375/saison_id/2024/plus/1,/spanien/kader/verein/3375/saison_id/2024/plus/1,https://www.transfermarkt.com/spanien/kader/verein/3375/saison_id/2024/plus/1,UEFA Euro,Matches,7,7,-,-,3.00,15:4,55.548,Matches,17,14,2,1,2.59,41:13,40.768
EURO,2024,2024,3376,Italy,/italien/startseite/verein/3376,/italien/spielplan/verein/3376/saison_id/2024/plus/1,https://www.transfermarkt.com/italien/spielplan/verein/3376/saison_id/2024/plus/1,/italien/kader/verein/3376/saison_id/2024/plus/1,https://www.transfermarkt.com/italien/kader/verein/3376/saison_id/2024/plus/1,UEFA Euro,Matches,4,1,1,2,1.00,3:5,54.134,Matches,14,8,3,3,1.93,21:14,36.151
EURO,2024,2024,3377,France,/frankreich/startseite/verein/3377,/frankreich/spielplan/verein/3377/saison_id/2024/plus/1,https://www.transfermarkt.com/frankreich/spielplan/verein/3377/saison_id/2024/plus/1,/frankreich/kader/verein/3377/saison_id/2024/plus/1,https://www.transfermarkt.com/frankreich/kader/verein/3377/saison_id/2024/plus/1,UEFA Euro,Matches,6,3,2,1,1.83,9:6,50.221,Matches,16,9,4,3,1.94,27:16,42.374
EURO,2024,2024,3379,Netherlands,/niederlande/startseite/verein/3379,/niederlande/spielplan/verein/3379/saison_id/2024/plus/1,https://www.transfermarkt.com/niederlande/spielplan/verein/3379/saison_id/2024/plus/1,/niederlande/kader/verein/3379/saison_id/2024/plus/1,https://www.transfermarkt.com/niederlande/kader/verein/3379/saison_id/2024/plus/1,UEFA Euro,Matches,6,3,1,2,1.67,10:7,58.507,Matches,16,8,4,4,1.75,36:16,49.023
EURO,2024,2024,3380,Scotland,/schottland/startseite/verein/3380,/schottland/spielplan/verein/3380/saison_id/2024/plus/1,https://www.transfermarkt.com/schottland/spielplan/verein/3380/saison_id/2024/plus/1,/schottland/kader/verein/3380/saison_id/2024/plus/1,https://www.transfermarkt.com/schottland/kader/verein/3380/saison_id/2024/plus/1,UEFA Euro,Matches,3,-,1,2,0.33,2:7,53.921,Matches,13,3,3,7,0.92,13:22,40.751
EURO,2024,2024,3381,Turkiye,/turkei/startseite/verein/3381,/turkei/spielplan/verein/3381/saison_id/2024/plus/1,https://www.transfermarkt.com/turkei/spielplan/verein/3381/saison_id/2024/plus/1,/turkei/kader/verein/3381/saison_id/2024/plus/1,https://www.transfermarkt.com/turkei/kader/verein/3381/saison_id/2024/plus/1,UEFA Euro,Matches,5,3,-,2,1.80,8:8,55.251,Matches,15,6,3,6,1.40,19:23,37.114
EURO,2024,2024,3382,Belgium,/belgien/startseite/verein/3382,/belgien/spielplan/verein/3382/saison_id/2024/plus/1,https://www.transfermarkt.com/belgien/spielplan/verein/3382/saison_id/2024/plus/1,/belgien/kader/verein/3382/saison_id/2024/plus/1,https://www.transfermarkt.com/belgien/kader/verein/3382/saison_id/2024/plus/1,UEFA Euro,Matches,4,1,1,2,1.00,2:2,47.132,Matches,14,4,4,6,1.14,15:13,38.089
EURO,2024,2024,3383,Austria,/osterreich/startseite/verein/3383,/osterreich/spielplan/verein/3383/saison_id/2024/plus/1,https://www.transfermarkt.com/osterreich/spielplan/verein/3383/saison_id/2024/plus/1,/osterreich/kader/verein/3383/saison_id/2024/plus/1,https://www.transfermarkt.com/osterreich/kader/verein/3383/saison_id/2024/plus/1,UEFA Euro,Matches,4,2,-,2,1.50,7:6,55.637,Matches,14,8,3,3,1.93,32:14,32.337
EURO,2024,2024,3384,Switzerland,/schweiz/startseite/verein/3384,/schweiz/spielplan/verein/3384/saison_id/2024/plus/1,https://www.transfermarkt.com/schweiz/spielplan/verein/3384/saison_id/2024/plus/1,/schweiz/kader/verein/3384/saison_id/2024/plus/1,https://www.transfermarkt.com/schweiz/kader/verein/3384/saison_id/2024/plus/1,UEFA Euro,Matches,5,2,2,1,1.60,11:9,49.230,Matches,15,4,6,5,1.20,23:24,30.898
EURO,2024,2024,3436,Denmark,/danemark/startseite/verein/3436,/danemark/spielplan/verein/3436/saison_id/2024/plus/1,https://www.transfermarkt.com/danemark/spielplan/verein/3436/saison_id/2024/plus/1,/danemark/kader/verein/3436/saison_id/2024/plus/1,https://www.transfermarkt.com/danemark/kader/verein/3436/saison_id/2024/plus/1,UEFA Euro,Matches,4,-,3,1,0.75,2:4,56.519,Matches,14,5,6,3,1.50,16:11,34.594
EURO,2024,2024,3438,Serbia,/serbien/startseite/verein/3438,/serbien/spielplan/verein/3438/saison_id/2024/plus/1,https://www.transfermarkt.com/serbien/spielplan/verein/3438/saison_id/2024/plus/1,/serbien/kader/verein/3438/saison_id/2024/plus/1,https://www.transfermarkt.com/serbien/kader/verein/3438/saison_id/2024/plus/1,UEFA Euro,Matches,3,-,2,1,0.67,1:2,58.756,Matches,13,3,5,5,1.08,9:14,27.521
EURO,2024,2024,3442,Poland,/polen/startseite/verein/3442,/polen/spielplan/verein/3442/saison_id/2024/plus/1,https://www.transfermarkt.com/polen/spielplan/verein/3442/saison_id/2024/plus/1,/polen/kader/verein/3442/saison_id/2024/plus/1,https://www.transfermarkt.com/polen/kader/verein/3442/saison_id/2024/plus/1,UEFA Euro,Matches,3,-,1,2,0.33,3:6,59.100,Matches,13,5,2,6,1.31,27:29,48.718
EURO,2024,2024,3445,Czechia,/tschechien/startseite/verein/3445,/tschechien/spielplan/verein/3445/saison_id/2024/plus/1,https://www.transfermarkt.com/tschechien/spielplan/verein/3445/saison_id/2024/plus/1,/tschechien/kader/verein/3445/saison_id/2024/plus/1,https://www.transfermarkt.com/tschechien/kader/verein/3445/saison_id/2024/plus/1,UEFA Euro,Matches,3,-,1,2,0.33,3:5,44.209,Matches,13,7,3,3,1.85,25:17,20.414
EURO,2024,2024,3447,Romania,/rumanien/startseite/verein/3447,/rumanien/spielplan/verein/3447/saison_id/2024/plus/1,https://www.transfermarkt.com/rumanien/spielplan/verein/3447/saison_id/2024/plus/1,/rumanien/kader/verein/3447/saison_id/2024/plus/1,https://www.transfermarkt.com/rumanien/kader/verein/3447/saison_id/2024/plus/1,UEFA Euro,Matches,4,1,1,2,1.00,4:6,53.543,Matches,14,7,4,3,1.79,25:13,33.141
EURO,2024,2024,3468,Hungary,/ungarn/startseite/verein/3468,/ungarn/spielplan/verein/3468/saison_id/2024/plus/1,https://www.transfermarkt.com/ungarn/spielplan/verein/3468/saison_id/2024/plus/1,/ungarn/kader/verein/3468/saison_id/2024/plus/1,https://www.transfermarkt.com/ungarn/kader/verein/3468/saison_id/2024/plus/1,UEFA Euro,Matches,3,1,-,2,1.00,2:5,49.892,Matches,13,5,3,5,1.38,13:18,44.476
EURO,2024,2024,3503,Slovakia,/slowakei/startseite/verein/3503,/slowakei/spielplan/verein/3503/saison_id/2024/plus/1,https://www.transfermarkt.com/slowakei/spielplan/verein/3503/saison_id/2024/plus/1,/slowakei/kader/verein/3503/saison_id/2024/plus/1,https://www.transfermarkt.com/slowakei/kader/verein/3503/saison_id/2024/plus/1,UEFA Euro,Matches,4,1,1,2,1.00,4:5,45.342,Matches,14,7,3,4,1.71,23:13,20.366
EURO,2024,2024,3556,Croatia,/kroatien/startseite/verein/3556,/kroatien/spielplan/verein/3556/saison_id/2024/plus/1,https://www.transfermarkt.com/kroatien/spielplan/verein/3556/saison_id/2024/plus/1,/kroatien/kader/verein/3556/saison_id/2024/plus/1,https://www.transfermarkt.com/kroatien/kader/verein/3556/saison_id/2024/plus/1,UEFA Euro,Matches,3,-,2,1,0.67,3:6,51.317,Matches,13,6,4,3,1.69,25:21,39.248
EURO,2024,2024,3561,Albania,/albanien/startseite/verein/3561,/albanien/spielplan/verein/3561/saison_id/2024/plus/1,https://www.transfermarkt.com/albanien/spielplan/verein/3561/saison_id/2024/plus/1,/albanien/kader/verein/3561/saison_id/2024/plus/1,https://www.transfermarkt.com/albanien/kader/verein/3561/saison_id/2024/plus/1,UEFA Euro,Matches,3,-,1,2,0.33,3:5,51.294,Matches,13,4,2,7,1.08,13:16,21.933
EURO,2024,2024,3588,Slovenia,/slowenien/startseite/verein/3588,/slowenien/spielplan/verein/3588/saison_id/2024/plus/1,https://www.transfermarkt.com/slowenien/spielplan/verein/3588/saison_id/2024/plus/1,/slowenien/kader/verein/3588/saison_id/2024/plus/1,https://www.transfermarkt.com/slowenien/kader/verein/3588/saison_id/2024/plus/1,UEFA Euro,Matches,4,-,3,1,0.75,2:5,51.285,Matches,15,5,7,3,1.47,17:18,24.549
EURO,2024,2024,3669,Georgia,/georgien/startseite/verein/3669,/georgien/spielplan/verein/3669/saison_id/2024/plus/1,https://www.transfermarkt.com/georgien/spielplan/verein/3669/saison_id/2024/plus/1,/georgien/kader/verein/3669/saison_id/2024/plus/1,https://www.transfermarkt.com/georgien/kader/verein/3669/saison_id/2024/plus/1,UEFA Euro,Matches,4,1,1,2,1.00,5:8,49.375,Matches,13,6,2,5,1.54,21:17,32.566
EURO,2024,2024,3699,Ukraine,/ukraine/startseite/verein/3699,/ukraine/spielplan/verein/3699/saison_id/2024/plus/1,https://www.transfermarkt.com/ukraine/spielplan/verein/3699/saison_id/2024/plus/1,/ukraine/kader/verein/3699/saison_id/2024/plus/1,https://www.transfermarkt.com/ukraine/kader/verein/3699/saison_id/2024/plus/1,UEFA Euro,Matches,3,1,1,1,1.33,2:4,53.167,Matches,14,6,4,4,1.57,19:17,29.245
